title,genre,director,rating
Alag: He Is Different.... He Is Alone...,An odd orphan boy is forced to use his secret super powers when his new classmates bully him. A scientist abducts him to use the boy's powers for his own evil gains.,Ashu Trikha,3.7
Aksar,A love triangle where everybody is blackmailing the other two gets a nasty upset when one of them is suddenly found murdered.,Anant Mahadevan,4.9
Rudraksh,"A doctor travels from America to India to investigate a man with paranormal healing powers, and uncovers the existence of a dark power that has the potential to transform humans into a new species.",Mani Shankar,2.7
Sainik,Lieutenant Suraj Dutt successfully fails an arms dealing on the border.He soon comes on leave and goes to meet his sister Mini where he comes across Alka.Alka and Sooraj soon fall in love ...                See full summary »,Sikander Bharti,6.0
Saare Jahaan Se Mehnga...,"A man under pressure due to the countrys growing inflation rates comes up with a unique idea to deal with the rising prices. However, things go wrong and his naivety lands him in big trouble.",Anshul Sharma,7.0
Children of War,Would you go to war for peace? A war child's search for acceptance and a nation inundated in blood.,Mrityunjay Devvrat,6.6
Barah Aana,Three impoverished room-mates kidnap middle-classed men and demand small ransoms to improve their respective lifestyles.,Raja Menon,6.7
Wajah Tum Ho,People get entangled in a mystery when a murder is committed on live television.,Vishal Pandya,4.4
1921,"A decade after 1920. When Ayush arrives in England to learn music, he is shocked and scared when the manor he is living in becomes haunted by spirits. To exorcise them, he seeks the help of Rose, a woman who can see and speak with them.",Vikram Bhatt,4.3
'D',"Deshu, a mechanic from Dubai, comes home to Mumbai, and gets embroiled in a crime by accident. The film shows his meteoric rise from common, law-abiding man to underworld kingpin.",Vishram Sawant,6.8
Monsoon Shootout,"As heavy rains lash Mumbai, a cop on his first assignment faces a life altering decision when he must decide whether to shoot a suspect or not.",Amit Kumar,6.6
Netaji Subhas Chandra Bose: The Forgotten Hero,"The film, which is about the last five years of the Indian leader Subhas Chandra's life, also includes his life's story in flashback sequences.",Shyam Benegal,7.5
Mere Desh Ki Dharti,A humorous yet inspirational take on the lives and journey of young engineers Ajay and his friend Sameer from being abject urban failures to icons of rural India.,Faraz Haider,8.8
420 IPC,"In this ZEE5 Original film, CA Keswani is arrested for bank fraud and forgery. Keswani hires Birbal, a lawyer, to fight his case, but Birbal realises that there's more to it than meets the eye.",Manish Gupta,6.5
Keemat: They Are Back,"After a man is killed when a mugging goes wrong, the two small-time crooks responsible try to make amends by pretending to be his best friends and helping his village.",Sameer Malkan,5.5
Teesri Manzil,"A woman blames a nightclub drummer for the suspicious death of her sister, and seeks revenge. However, the pair work together to solve the mystery and become romantically involved, after he introduces himself under another name.",Vijay Anand,7.5
Haathi Mere Saathi,"Orphaned Raju, in the company of four elephants, has to perform with them at street corners, in order to keep alive. Slowly he amasses a fortune, and is able to build his own private zoo, ...                See full summary »",M.A. Thirumugham,6.9
Yamla Pagla Deewana Phir Se...,An upright Ayurveda practitioner is hounded by big pharmacy giants for his age-old formula that cures everything.,Navaniat Singh,4.4
Naya Daur,"When the son of a landlord decides to modernize his business by replacing the horse carts with buses, a horse cart rider decides to challenge him.",B.R. Chopra,7.8
Angrezi Mein Kehte Hain,Angrezi Mein Kehte Hein is a family drama and explores changing relationships between a middle aged couple. Its about the realization that sometimes just loving someone is not enough and expressing that love is equally important.,Harish Vyas,6.7
I Am 24,"Subhendu, a middle-aged writer, falls in love with a much younger woman named Sheela. In order to woo her, he pretends to be a younger man.",Saurabh Shukla,6.0
Katha,"Secretly in love with his neighbor, a mild-mannered clerk is heartbroken when his much bolder, more charming friend wins her heart instead.",Sai Paranjape,7.8
Kaali Khuhi,"Shivangi, a 10 year old girl, is put to the ultimate test to save her family's village from the restless ghosts of its horrific past.",Terrie Samundra,3.5
Baton Baton Mein,"Nancy and Tony meet regularly on their daily commute to work and gradually fall in love. But when Tony shows reluctance toward marriage, Nancy's mother starts looking for a groom for her daughter.",Basu Chatterjee,7.5
Hanuman,"This animated movie depicts Hanuman's life from birth. The narrator is actor Mukesh Khanna. The movie relays how Hanuman was born to Anjani a female Apsara and Kesari, by the blessings of Vayu-Dev, the Wind God.",V.G. Samant,7.7
Chor Machaaye Shor,"A thief pretends to be a cop in order to recover his diamond from a site that has been converted into the police headquarters. Although he becomes a favourite of the ACP, a colleague gets suspicious.",David Dhawan,4.3
Ghulam-E-Musthafa,A gangster shuns the path of crime after his lover is killed by his rivals but soon he is dragged by his boss once again in the criminal world to do one last job.,Partho Ghosh,6.6
Maa Tujhhe Salaam,Major Pratab Singh works in the Indian army and he and his battalion has been assigned duty near the Indo-Pakistan border. There duty mainly consists of eliminating any terrorists trying to...                See full summary »,Tinnu Verma,3.6
Dil Kya Kare,An emotional saga of a mother who has lost her child and her love.,Prakash Jha,5.1
Firangi,"When there are disputes in life, love overcomes all challenges and truth prevails. Set in the colonial era, Firangi is the story of a mutiny staged by the villagers against the Britishers.",Rajiv Dhingra,4.3
Mujhe Kucch Kehna Hai,"Karan, a small time musician, tries to win over a girl named Pooja.",Satish Kaushik,4.8
Ek Ladka Ek Ladki,"A daughter returns to her deceased father's estate. She discovers that her uncle, who looks after the estate, has been embezzling her father's money.",Vijay Sadanah,5.8
Do Knot Disturb,A man and a woman have to pretend to be a couple in order to salvage a CEO's marriage.,David Dhawan,3.7
Baa Baaa Black Sheep,"Baa Baa Black Sheep is the story of Baba, who is still trying to find his bearings. Baba's father, Charudutt Sharma who is a boring Cashew nut dealer for everyone, reveals to a shocked Baba...                See full summary »",Vishwas Paandya,6.2
Maine Dil Tujhko Diya,"In order to win his love back, a rebellious youth accepts a deadly challenge from her father with several hurdles.",Sohail Khan,3.9
Woh 7 Din,"Maya, coming from poor family, is married to the affluent Dr. Anand; but she tries to commit suicide on the nuptial night. She tells Anand that she was in love with Prem whose ambition was ...                See full summary »",Bapu,7.5
Naksha,"An archaeologist loses life to protect a map from a rival. In the journey to unlock the mysteries of the map, his two sons overcome death-defying obstacles.",Sachin Bajaj,3.4
Ek Duuje Ke Liye,"The cross-cultural romance between Vaasu and Sapna meets heavy opposition from their family, who vow to stop their union at any cost. As the star-crossed lovers forbidden love ensues, nothing will prepare them for their tragic destiny.",K. Balachander,7.3
Pal Pal Dil Ke Paas,"When video blogger Saher Sethi embarks on a tedious trek with mountaineer Karan Sehgal, sparks are bound to fly. But will their love story blossom despite the odds?",Sunny Deol,4.5
The Killer,A cab driver finds himself held hostage by a hitman who forces him to drive through the roads of Dubai and help him kill his targets.,Hasnain Hyderabadwala,4.7
Bombay to Goa,College student Mala has dreams of becoming a Bollywood movie actress; her dreams began materializing into reality when she is approached by Mr. Sharma and his assistant Mr. Verma who ...                See full summary »,Mehmood,6.8
Jodi Breakers,A man (R. Madhavan) who helps wronged parties get out of bad relationships meets his match when he takes on a business partner (Bipasha Basu).,Ashwini Chaudhary,3.6
Banjo,"A banjo player seeks fame, success, and respect.",Ravi Jadhav,5.0
Krishna Cottage,A group of collegians are forced to take shelter in a mysterious Krishna Cottage for the night. Little do they know that the cottage is haunted by a spirit.,Santram Varma,5.1
Mission Istaanbul: Darr Ke Aagey Jeet Hai!,A news reporter must uncover the secret on the 13th floor of a News Station.,Apoorva Lakhia,3.4
I See You,"Dr. Shivani Dutt lives a wealthy lifestyle in London, England with her widowed mom and a dog named Kaali. She works at the Thomwell Hospital. One day she notices that some of her fellow ...                See full summary »",Vivek b Agrawal,4.3
Dillagi,"When Ranvir, the responsible elder brother of a middle-class Indian family, realises that his reckless younger brother Rajvir is in love, he arranges for Rajvir's marriage, not realising that the girl is the same person he is in love with.",Sunny Deol,5.3
...Yahaan,"In the disputed territory of Kashmir, a young Muslim woman meets and falls in love with a Hindu man. As a result of their love and desire for marriage, they commit the greatest sin according to those wrapped up in the Kashmiri conflict.",Shoojit Sircar,7.5
Jungle,"A survival tale of two lovers, who tries their best to escape a jungle which is governed by a cold blooded dacoit.",Ram Gopal Varma,6.0
The Train: Some Lines Should Never Be Crossed...,"When two married business executives having an affair are blackmailed by a violent criminal, the two must turn the tables on him to save their families.",Hasnain Hyderabadwala,4.3
Kya Meri Sonam Gupta Bewafa Hai,"In this ZEE5 Original film, Sintoo, a dejected lover, pens down his feelings on a currency note which goes viral and triggers a chain of hilarious events. Will he overcome the heartbreak and find closure?",Ssaurabh Tyagi,4.2
